common_name,scientific_name,order,family,genus,species,
Comstock mealybug,Pseudococcus comstocki (Kuwana),Hemiptera,Pseudococcidae,Pseudococcus,comstocki,
conchuela,Chlorochroa ligata (Say),Hemiptera,Pentatomidae,Chlorochroa,ligata,
conehead termite,Nasutitermes corniger (Motschulsky),Blattodea,Termitidae,Nasutitermes,corniger,
confused flour beetle,Tribolium confusum Jacquelin du Val,Coleoptera,Tenebrionidae,Tribolium,confusum,
confusing bumble bee,Bombus perplexus (Cresson),Hymenoptera,Apidae,Bombus,perplexus,
conifer spider mite,Oligonychus coniferarum (McGregor),Acari,Tetranychidae,Oligonychus,coniferarum,
convergent lady beetle,Hippodamia convergens Guérin-Méneville,Coleoptera,Coccinellidae,Hippodamia,convergens,
Cooley spruce gall adelgid,Adelges cooleyi (Gillette),Hemiptera,Adelgidae,Adelges,cooleyi,
corn blotch leafminer,Agromyza parvicornis Loew,Diptera,Agromyzidae,Agromyza,parvicornis,
corn delphacid,Peregrinus maidis (Ashmead),Hemiptera,Delphacidae,Peregrinus,maidis,
corn earworm*,Helicoverpa zea (Boddie),Lepidoptera,Noctuidae,Helicoverpa,zea,
corn flea beetle,Chaetocnema pulicaria Melsheimer,Coleoptera,Chrysomelidae,Chaetocnema,pulicaria,
corn leaf aphid,Rhopalosiphum maidis (Fitch),Hemiptera,Aphididae,Rhopalosiphum,maidis,
corn leafhopper,Dalbulus maidis (DeLong),Hemiptera,Cicadellidae,Dalbulus,maidis,
corn root aphid*,Protaphis middletoni (Thomas),Hemiptera,Aphididae,Protaphis,middletoni,
corn root webworm,Neodactria caliginosellus Clemens,Lepidoptera,Crambidae,Neodactria,caliginosellus,
corn sap beetle,Carpophilus dimidiatus (Fabricius),Coleoptera,Nitidulidae,Carpophilus,dimidiatus,
corn silk beetle,Metrioidea brunnea (Crotch),Coleoptera,Chrysomelidae,Metrioidea,brunnea,
corn thrips,Frankliniella williamsi Hood,Thysanoptera,Thripidae,Frankliniella,williamsi,
cornfield ant,Lasius alienus (Foerster),Hymenoptera,Formicidae,Lasius,alienus,
cosmopolitan grain psocid,Lachesilla pedicularia (Linnaeus),Psocoptera,Lachesillidae,Lachesilla,pedicularia,
cotton aphid*,Aphis gossypii Glover,Hemiptera,Aphididae,Aphis,gossypii,
cotton blister mite,Acalitus gossypii (Banks),Acari,Eriophyidae,Acalitus,gossypii,
cotton fleahopper,Pseudatomoscelis seriatus (Reuter),Hemiptera,Miridae,Pseudatomoscelis,seriatus,
cotton lace bug,Corythucha gossypii (Fabricius),Hemiptera,Tingidae,Corythucha,gossypii,
cotton leafminer,Stigmella gossypii (Forbes & Leonard),Lepidoptera,Nepticulidae,Stigmella,gossypii,
cotton leafperforator,Bucculatrix thurberiella Busck,Lepidoptera,Bucculatricidae,Bucculatrix,thurberiella,
cotton leafworm,Alabama argillacea (Hübner),Lepidoptera,Erebidae,Alabama,argillacea,
cotton square borer,Strymon melinus Hübner,Lepidoptera,Lycaenidae,Strymon,melinus,
cotton stainer,Dysdercus suturellus (Herrich-Schäffer),Hemiptera,Pyrrhocoridae,Dysdercus,suturellus,
cotton stem moth,Platyedra subcinerea (Haworth),Lepidoptera,Gelechiidae,Platyedra,subcinerea,
cottonwood borer,Plectrodera scalator (Fabricius),Coleoptera,Cerambycidae,Plectrodera,scalator,
cottonwood dagger moth,Acronicta lepusculina Guenée,Lepidoptera,Noctuidae,Acronicta,lepusculina,
cottonwood leaf beetle,Chrysomela scripta Fabricius,Coleoptera,Chrysomelidae,Chrysomela,scripta,
cottonwood twig borer,Gypsonoma haimbachiana (Kearfott),Lepidoptera,Tortricidae,Gypsonoma,haimbachiana,
cottony cushion scale,Icerya purchasi Maskell,Hemiptera,Monophlebidae,Icerya,purchasi,
cottony maple scale,Pulvinaria innumerabilis (Rathvon),Hemiptera,Coccidae,Pulvinaria,innumerabilis,
cottony peach scale,Pulvinaria amygdali Cockerell,Hemiptera,Coccidae,Pulvinaria,amygdali,
coulee cricket,Peranabrus scabricollis (Thomas),Orthoptera,Tettigoniidae,Peranabrus,scabricollis,
cowpea aphid,Aphis craccivora Koch,Hemiptera,Aphididae,Aphis,craccivora,
cowpea curculio,Chalcodermus aeneus Boheman,Coleoptera,Curculionidae,Chalcodermus,aeneus,
cowpea weevil,Callosobruchus maculatus (Fabricius),Coleoptera,Chrysomelidae,Callosobruchus,maculatus,
crab louse,Pthirus pubis (Linnaeus),Phthiraptera,Pthiridae,Pthirus,pubis,
crabhole mosquito,Deinocerites cancer Theobald,Diptera,Culicidae,Deinocerites,cancer,
cranberry fruitworm,Acrobasis vaccinii Riley,Lepidoptera,Pyralidae,Acrobasis,vaccinii,
cranberry girdler,Chrysoteuchia topiaria (Zeller),Lepidoptera,Crambidae,Chrysoteuchia,topiaria,
cranberry rootworm,Rhabdopterus picipes (Olivier),Coleoptera,Chrysomelidae,Rhabdopterus,picipes,
cranberry weevil,Anthonomus musculus Say,Coleoptera,Curculionidae,Anthonomus,musculus,
crapemyrtle aphid,Sarucallis kahawaluokalani (Kirkaldy),Hemiptera,Aphididae,Sarucallis,kahawaluokalani,
crapemyrtle bark scale,Acanthococcus lagerstroemiae (Kuwana),Hemiptera,Eriococcidae,Acanthococcus,lagerstroemiae,
crazy ant,Paratrechina longicornis (Latreille),Hymenoptera,Formicidae,Paratrechina,longicornis,
creosotebush spider mite,Pseudobryobia drummondi (Ewing),Acari,Tetranychidae,Pseudobryobia,drummondi,
crescentmarked lily aphid,Neomyzus circumflexus (Buckton),Hemiptera,Aphididae,Neomyzus,circumflexus,
cribrate weevil,Otiorhynchus cribricollis Gyllenhal,Coleoptera,Curculionidae,Otiorhynchus,cribricollis,
crinkled flannel moth,Lagoa crispata (Packard),Lepidoptera,Megalopygidae,Lagoa,crispata,
cross-striped cabbageworm,Evergestis rimosalis (Guenée),Lepidoptera,Crambidae,Evergestis,rimosalis,
croton caterpillar,Achaea janata (Linnaeus),Lepidoptera,Erebidae,Achaea,janata,
croton mussel scale,Lepidosaphes tokionis (Kuwana),Hemiptera,Diaspididae,Lepidosaphes,tokionis,
croton whitefly,Orchamoplatus mammaeferus (Quaintance & Baker),Hemiptera,Aleyrodidae,Orchamoplatus,mammaeferus,
crypt gall wasp,Bassettia pallida (Ashmead 1896),Hymenoptera,Cynipidae,Bassettia,pallida,
Cuban cockroach,Panchlora nivea (Linnaeus),Blattodea,Blaberidae,Panchlora,nivea,
Cuban laurel thrips,Gynaikothrips ficorum (Marchal),Thysanoptera,Phlaeothripidae,Gynaikothrips,ficorum,
cucurbit longicorn,Apomecyna saltator (Fabricius),Coleoptera,Cerambycidae,Apomecyna,saltator,
cucurbit midge,Prodiplosis citrulli (Felt),Diptera,Cecidomyiidae,Prodiplosis,citrulli,
curled rose sawfly,Allantus cinctus (Linnaeus),Hymenoptera,Tenthredinidae,Allantus,cinctus,
currant aphid,Cryptomyzus ribis (Linnaeus),Hemiptera,Aphididae,Cryptomyzus,ribis,
currant borer,Synanthedon tipuliformis (Clerck),Lepidoptera,Sesiidae,Synanthedon,tipuliformis,
currant bud mite,Cecidophyopsis ribis (Westwood),Acari,Eriophyidae,Cecidophyopsis,ribis,
currant fruit fly,Euphranta canadensis (Loew),Diptera,Tephritidae,Euphranta,canadensis,
currant fruit weevil,Pseudanthonomus validus Dietz,Coleoptera,Curculionidae,Pseudanthonomus,validus,
currant spanworm,Itame ribearia (Fitch),Lepidoptera,Geometridae,Itame,ribearia,
currant stem girdler,Janus integer (Norton),Hymenoptera,Cephidae,Janus,integer,
cyclamen mite,Phytonemus pallidus (Banks),Acari,Tarsonemidae,Phytonemus,pallidus,
cynthia moth,Samia cynthia (Drury),Lepidoptera,Saturniidae,Samia,cynthia,
dandelion gall wasp,Phanacis taraxaci (Ashmead),Hymenoptera,Cynipidae,Phanacis,taraxaci,
dark mealworm,Tenebrio obscurus Fabricius,Coleoptera,Tenebrionidae,Tenebrio,obscurus,
darksided cutworm,Euxoa messoria (Harris),Lepidoptera,Noctuidae,Euxoa,messoria,
date stone beetle,Coccotrypes dactyliperda (F.),Coleoptera,Curculionidae,Coccotrypes,dactyliperda,
datebug,Asarcopus palmarum Horvath,Hemiptera,Issidae,Asarcopus,palmarum,
dectes stem borer,Dectes texanus LeConte,Coleoptera,Cerambycidae,Dectes,texanus,
Dehli Sands flower-loving fly,Rhaphiomidas terminatus abdominalis Cazier,Diptera,Apioceridae,Rhaphiomidas,terminatus abdominalis,
dendrobium mealybug,Pseudococcus dendrobiorum Williams,Hemiptera,Pseudococcidae,Pseudococcus,dendrobiorum,
depluming mite,Neocnemidocoptes gallinae (Railliet),Acari,Sarcoptidae,Neocnemidocoptes,gallinae,
depressed flour beetle,Palorus subdepressus (Wollaston),Coleoptera,Tenebrionidae,Palorus,subdepressus,
desert corn flea beetle,Chaetocnema ectypa Horn,Coleoptera,Chrysomelidae,Chaetocnema,ectypa,
desert spider mite,Tetranychus desertorum Banks,Acari,Tetranychidae,Tetranychus,desertorum,
devastating grasshopper,Melanoplus devastator Scudder,Orthoptera,Acrididae,Melanoplus,devastator,
diamondback moth,Plutella xylostella (Linnaeus),Lepidoptera,Plutellidae,Plutella,xylostella,
diamondbacked spittlebug,Lepyronia quadrangularis (Say),Hemiptera,Cercopidae,Lepyronia,quadrangularis,
dictyospermum scale,Chrysomphalus dictyospermi (Morgan),Hemiptera,Diaspididae,Chrysomphalus,dictyospermi,
differential grasshopper,Melanoplus differentialis (Thomas),Orthoptera,Acrididae,Melanoplus,differentialis,
dingy cutworm,Feltia jaculifera (Guenée),Lepidoptera,Noctuidae,Feltia,jaculifera,
dock sawfly,Ametastegia glabrata (Fallén),Hymenoptera,Tenthredinidae,Ametastegia,glabrata,
dodder gall weevil,Smicronyx sculpticollis Casey,Coleoptera,Curculionidae,Smicronyx,sculpticollis,
dog biting louse,Trichodectes canis (De Geer),Phthiraptera,Trichodectidae,Trichodectes,canis,
dog flea,Ctenocephalides canis (Curtis),Siphonaptera,Pulicidae,Ctenocephalides,canis,
dog follicle mite,Demodex canis Leydig,Acari,Demodicidae,Demodex,canis,
dog sucking louse,Linognathus setosus (Olfers),Phthiraptera,Linognathidae,Linognathus,setosus,
dogwood borer,Synanthedon scitula (Harris),Lepidoptera,Sesiidae,Synanthedon,scitula,
dogwood clubgall midge,Resseliella clavula (Beuterm),Diptera,Cecidomyiidae,Resseliella,clavula,
dogwood scale,Chionaspis corni Cooley,Hemiptera,Diaspididae,Chionaspis,corni,
dogwood spittlebug,Clastoptera proteus Fitch,Hemiptera,Cercopidae,Clastoptera,proteus,
dogwood twig borer,Oberea tripunctata (Swederus),Coleoptera,Cerambycidae,Oberea,tripunctata,
Douglas-fir beetle,Dendroctonus pseudotsugae Hopkins,Coleoptera,Curculionidae,Dendroctonus,pseudotsugae,
Douglas-fir cone gall midge,Contarinia oregonensis Foote,Diptera,Cecidomyiidae,Contarinia,oregonensis,
Douglas-fir cone moth,Barbara colfaxiana (Kearfott),Lepidoptera,Tortricidae,Barbara,colfaxiana,
Douglas-fir cone scale midge,Contarinia washingtonensis Johnson,Diptera,Cecidomyiidae,Contarinia,washingtonensis,
Douglas-fir engraver,Scolytus unispinosus LeConte,Coleoptera,Curculionidae,Scolytus,unispinosus,
Douglas-fir pitch moth,Synanthedon novaroensis (Hy. Edwards),Lepidoptera,Sesiidae,Synanthedon,novaroensis,
Douglas-fir pole beetle,Pseudohylesinus nebulosus (LeConte),Coleoptera,Curculionidae,Pseudohylesinus,nebulosus,
Douglas-fir tussock moth,Orgyia pseudotsugata (McDunnough),Lepidoptera,Erebidae,Orgyia,pseudotsugata,
Douglas-fir twig weevil,Cylindrocopturus furnissi Buchanan,Coleoptera,Curculionidae,Cylindrocopturus,furnissi,
driedfruit beetle,Carpophilus hemipterus (Linnaeus),Coleoptera,Nitidulidae,Carpophilus,hemipterus,
driedfruit mite,Carpoglyphus lactis (Linnaeus),Acari,Carpoglyphidae,Carpoglyphus,lactis,
driedfruit moth,Vitula serratilineella Ragonot,Lepidoptera,Pyralidae,Vitula,serratilineella,
drone fly,Eristalis tenax (Linnaeus),Diptera,Syrphidae,Eristalis,tenax,
drugstore beetle,Stegobium paniceum (Linnaeus),Coleoptera,Ptinidae,Stegobium,paniceum,
dryberry mite,Phyllocoptes gracilis (Nalepa),Acari,Eriophyidae,Phyllocoptes,gracilis,
dryland wireworm,Ctenicera glauca (Germar),Coleoptera,Elateridae,Ctenicera,glauca,
dusky birch sawfly,Craesus latitarsus Norton,Hymenoptera,Tenthredinidae,Craesus,latitarsus,
dusky sap beetle,Carpophilus lugubris Murray,Coleoptera,Nitidulidae,Carpophilus,lugubris,
dusky stink bug,Euschistus tristigmus (Say),Hemiptera,Pentatomidae,Euschistus,tristigmus,
duskyback leafroller,Archips mortuana (Kearfott),Lepidoptera,Tortricidae,Archips,mortuana,
ear tick,Otobius megnini (Dugès),Acari,Argasidae,Otobius,megnini,
eastern ash bark beetle,Hylesinus aculeatus (Say),Coleoptera,Curculionidae,Hylesinus,aculeatus,
eastern bat bug,Cimex adjunctus Barber,Hemiptera,Cimicidae,Cimex,adjunctus,
eastern blackheaded budworm,Acleris variana (Fernald),Lepidoptera,Tortricidae,Acleris,variana,
eastern cicada killer,Sphecius speciosus (Drury),Hymenoptera,Crabronidae,Sphecius,speciosus,
eastern dobsonfly,Corydalus cornutus (Linnaeus),Megaloptera,Corydalidae,Corydalus,cornutus,
eastern field wireworm,Limonius agonus (Say),Coleoptera,Elateridae,Limonius,agonus,
eastern fivespined ips,Ips grandicollis (Eichhoff),Coleoptera,Curculionidae,Ips,grandicollis,
eastern grape leafhopper,Erythroneura comes (Say),Hemiptera,Cicadellidae,Erythroneura,comes,
eastern Hercules beetle,Dynastes tityus (Linnaeus),Coleoptera,Scarabaeidae,Dynastes,tityus,
eastern larch beetle,Dendroctonus simplex LeConte,Coleoptera,Curculionidae,Dendroctonus,simplex,
eastern lubber grasshopper,Romalea microptera (Beauvois),Orthoptera,Romaleidae ,Romalea,microptera,
eastern pine looper,Lambdina pellucidaria (Grote & Robinson),Lepidoptera,Geometridae,Lambdina,pellucidaria,
eastern pine seedworm,Cydia toreuta (Grote),Lepidoptera,Tortricidae,Cydia,toreuta,
eastern pine shoot borer,Eucosma gloriola Heinrich,Lepidoptera,Tortricidae,Eucosma,gloriola,
eastern pine weevil,Pissodes nemorensis Germar,Coleoptera,Curculionidae,Pissodes,nemorensis,
eastern spruce gall adelgid,Adelges abietis (Linnaeus),Hemiptera,Adelgidae,Adelges,abietis,
eastern subterranean termite,Reticulitermes flavipes (Kollar),Blattodea,Rhinotermitidae,Reticulitermes,flavipes,
eastern tent caterpillar,Malacosoma americanum (Fabricius),Lepidoptera,Lasiocampidae,Malacosoma,americanum,
eastern tiger swallowtail,Papilio glaucus Linnaeus,Lepidoptera,Papilionidae,Papilio,glaucus,
eastern treehole mosquito,Aedes triseriatus (Say),Diptera,Culicidae,Aedes,triseriatus,
eastern yellowjacket,Vespula maculifrons (Buysson),Hymenoptera,Vespidae,Vespula,maculifrons,
eggplant flea beetle,Epitrix fuscula Crotch,Coleoptera,Chrysomelidae,Epitrix,fuscula,
eggplant lace bug,Gargaphia solani Heidemann,Hemiptera,Tingidae,Gargaphia,solani,
eggplant leafminer,Tildenia inconspicuella (Murtfeldt),Lepidoptera,Gelechiidae,Tildenia,inconspicuella,
Egyptian alfalfa weevil,Hypera brunnipennis (Boheman),Coleoptera,Curculionidae,Hypera,brunnipennis,
eightspotted forester,Alypia octomaculata (Fabricius),Lepidoptera,Noctuidae,Alypia,octomaculata,
El Segundo blue,Euphilotes battoides allyni (Shields),Lepidoptera,Lycaenidae,Euphilotes,battoides allyni ,
elder shoot borer,Achatodes zeae (Harris),Lepidoptera,Noctuidae,Achatodes,zeae,
elegant sheep moth,Hemileuca eglanterina (Boisduval),Lepidoptera,Saturniidae,Hemileuca,eglanterina,
elm borer,Saperda tridentata Olivier,Coleoptera,Cerambycidae,Saperda,tridentata,
elm calligrapha,Calligrapha scalaris (LeConte),Coleoptera,Chrysomelidae,Calligrapha,scalaris,
elm casebearer,Coleophora ulmifoliella McDunnough,Lepidoptera,Coleophoridae,Coleophora,ulmifoliella,
elm cockscombgall aphid,Colopha ulmicola (Fitch),Hemiptera,Aphididae,Colopha,ulmicola,
elm flea beetle,Altica carinata Germar,Coleoptera,Chrysomelidae,Altica,carinata,
elm lace bug,Corythucha ulmi Osborn & Drake,Hemiptera,Tingidae,Corythucha,ulmi,
elm leaf aphid,Tinocallis ulmifolii (Monell),Hemiptera,Aphididae,Tinocallis,ulmifolii,
elm leaf beetle,Xanthogaleruca luteola (Müller),Coleoptera,Chrysomelidae,Xanthogaleruca,luteola,
elm leafminer,Fenusa ulmi Sundeval,Hymenoptera,Tenthredinidae,Fenusa,ulmi,
elm sawfly,Cimbex americana Leach,Hymenoptera,Cimbicidae,Cimbex,americana,
elm scurfy scale,Chionaspis americana Johnson,Hemiptera,Diaspididae,Chionaspis,americana,
elm seed bug,Arocatus melanocephalus (Fabricius) ,Hemiptera,Lygaeidae,Arocatus,melanocephalus,
elm spanworm,Ennomos subsignaria (Hübner),Lepidoptera,Geometridae,Ennomos,subsignaria,
elm sphinx,Ceratomia amyntor (Geyer),Lepidoptera,Sphingidae,Ceratomia,amyntor,
elongate flea beetle,Systena elongata (Fabricius),Coleoptera,Chrysomelidae,Systena,elongata,
elongate hemlock scale,Fiorinia externa Ferris,Hemiptera,Diaspididae,Fiorinia,externa,
emarginate ips,Ips emarginatus (LeConte),Coleoptera,Curculionidae,Ips,emarginatus,
emerald ash borer,Agrilus planipennis Fairmaire,Coleoptera,Buprestidae,Agrilus,planipennis,
emerald cockroach wasp,Ampulex compressa (Fabricius),Hymenoptera,Sphecidae,Ampulex,compressa,
Engelmann spruce weevil*,Pissodes strobi (Peck),Coleoptera,Curculionidae,Pissodes,strobi,
English grain aphid,Sitobion avenae (Fabricius),Hemiptera,Aphididae,Sitobion,avenae,
erigeron root aphid*,Protaphis middletoni (Thomas),Hemiptera,Aphididae,Protaphis,middletoni,
ermine moth,Yponomeuta padella (Linnaeus),Lepidoptera,Yponomeutidae,Yponomeuta,padella,
eucalyptus longhorned borer,Phoracantha semipunctata (Fabricius),Coleoptera,Cerambycidae,Phoracantha,semipunctata,
eugenia caterpillar,Targalla delatrix (Guenée),Lepidoptera,Eutellidae,Targalla,delatrix,
euonymus scale,Unaspis euonymi (Comstock),Hemiptera,Diaspididae,Unaspis,euonymi,
eupatorium gall fly,Procecidochares utilis Stone,Diptera,Tephritidae,Procecidochares,utilis,
Eurasian hemp borer,Grapholita delineana (Walker),Lepidoptera,Tortricidae,Grapholita,delineana,
Eurasian mealworm,Opatroides punctulatus Brulle ?,Coleoptera,Tenebrionidae,Opatroides,punctulatus,
Eurasian pine adelgid,Pineus pini (Goeze),Hemiptera,Adelgidae,Pineus,pini,
European alder leafminer,Fenusa dohrnii (Tischbein),Hymenoptera,Tenthredinidae,Fenusa,dohrnii,
European apple sawfly,Hoplocampa testudinea (Klug),Hymenoptera,Tenthredinidae,Hoplocampa,testudinea,
European chafer,Rhizotrogus majalis (Razoumowsky),Coleoptera,Scarabaeidae,Rhizotrogus,majalis,
European cherry fruit fly,Rhagoletis cerasi (L.),Diptera,Tephritidae,Rhagoletis,cerasi,
European chicken flea,Ceratophyllus gallinae (Schrank),Siphonaptera,Ceratophyllidae,Ceratophyllus,gallinae,
European corn borer,Ostrinia nubilalis (Hübner),Lepidoptera,Crambidae,Ostrinia,nubilalis,
European crane fly,Tipula paludosa Meigen,Diptera,Tipulidae,Tipula,paludosa,
European earwig,Forficula auricularia Linnaeus,Dermaptera,Forficulidae,Forficula,auricularia,
European elm bark beetle,Scolytus multistriatus (Marsham),Coleoptera,Curculionidae,Scolytus,multistriatus,
European elm flea weevil,Orchestes steppensis (Linnaeus),Coleoptera,Curculionidae,Orchestes,steppensis,
European elm scale,Eriococcus spurius (Modeer),Hemiptera,Eriococcidae,Eriococcus,spurius,
European fruit lecanium,Parthenolecanium corni (Bouché),Hemiptera,Coccidae,Parthenolecanium,corni,
European fruit scale,Diaspidiotus ostreaeformis (Curtis),Hemiptera,Diaspididae,Diaspidiotus,ostreaeformis,
European grain moth,Nemapogon granella (Linnaeus),Lepidoptera,Tineidae,Nemapogon,granella,
European grapevine moth,Lobesia botrana (Denis & Schiffermüller),Lepidoptera,Tortricidae,Lobesia,botrana,
European honeysuckle leafroller,Ypsolopha dentella (Fabricius),Lepidoptera,Plutellidae,Ypsolopha,dentella,
European hornet,Vespa crabro Linnaeus,Hymenoptera,Vespidae,Vespa,crabro,
European house dust mite,Dermatophagoides pteronyssinus (Hering),Acari,Pyroglyphidae,Dermatophagoides,pteronyssinus,
European mantid,Mantis religiosa Linnaeus,Mantodea,Mantidae,Mantis,religiosa,
European mouse flea,Leptopsylla segnis (Schönherr),Siphonaptera,Leptopsyllidae,Leptopsylla,segnis,
European oak borer,Agrilus sulcicollis Lacordaire,Coleoptera,Buprestidae,Agrilus,sulcicollis,
European paper wasp,Polistes dominula (Christ),Hymenoptera,Vespidae,Polistes,dominula,
European peach scale,Parthenolecanium persicae (Fabricius),Hemiptera,Coccidae,Parthenolecanium,persicae,
European pine sawfly,Neodiprion sertifer (Geoffroy),Hymenoptera,Diprionidae,Neodiprion,sertifer,
European pine shoot moth,Rhyacionia buoliana ([Denis & Schiffermüller]),Lepidoptera,Tortricidae,Rhyacionia,buoliana,
European red mite,Panonychus ulmi (Koch),Acari,Tetranychidae,Panonychus,ulmi,
European spruce beetle,Dendroctonus micans (Kugelann),Coleoptera,Curculionidae,Dendroctonus,micans,
European spruce sawfly,Gilpinia hercyniae (Hartig),Hymenoptera,Diprionidae,Gilpinia,hercyniae,
European wheat stem sawfly,Cephus pygmaeus (Linnaeus),Hymenoptera,Cephidae,Cephus,pygmaeus,
eyed click beetle,Alaus oculatus (Linnaeus),Coleoptera,Elateridae,Alaus,oculatus,
eyespotted bud moth,Spilonota ocellana ([Denis & Schiffermüller]),Lepidoptera,Tortricidae,Spilonota,ocellana,
face fly,Musca autumnalis De Geer,Diptera,Muscidae,Musca,autumnalis,
fall armyworm,Spodoptera frugiperda (J.E. Smith),Lepidoptera,Noctuidae,Spodoptera,frugiperda,
fall cankerworm,Alsophila pometaria (Harris),Lepidoptera,Geometridae,Alsophila,pometaria,
fall webworm,Hyphantria cunea (Drury),Lepidoptera,Erebidae,Hyphantria,cunea,
false celery leaftier,Udea profundalis (Packard),Lepidoptera,Crambidae,Udea,profundalis,
false chinch bug,Nysius raphanus Howard,Hemiptera,Lygaeidae,Nysius,raphanus,
false German cockroach,Blattella lituricollis (Walker),Blattodea,Blattellidae,Blattella,lituricollis,
false hemlock looper,Nepytia canosaria (Walker),Lepidoptera,Geometridae,Nepytia,canosaria,
false potato beetle,Leptinotarsa juncta (Germar),Coleoptera,Chrysomelidae,Leptinotarsa,juncta,
false stable fly,Muscina stabulans (Fallén),Diptera,Muscidae,Muscina,stabulans,
feather mite,Megninia cubitalis (Mégnin),Acari,Analgidae,Megninia,cubitalis,
fern aphid,Idiopterus nephrelepidis Davis,Hemiptera,Aphididae,Idiopterus,nephrelepidis,
fern scale,Pinnaspis aspidistrae (Signoret),Hemiptera,Diaspididae,Pinnaspis,aspidistrae,
Fernald cuckoo bumble bee,Bombus fernaldae (Franklin),Hymenoptera,Apidae,Bombus,fernaldae,
fiery hunter,Calosoma calidum (Fabricius),Coleoptera,Carabidae,Calosoma,calidum,
fiery skipper,Hylephila phyleus (Drury),Lepidoptera,Hesperiidae,Hylephila,phyleus,
fig mite,Aceria fica (Cotte),Acari,Eriophyidae,Aceria,fica,
fig scale,Lepidosaphes conchiformis (Gmelin),Hemiptera,Diaspididae,Lepidosaphes,conchiformis,
fig wasp,Blastophaga psenes (Linnaeus),Hymenoptera,Agaonidae,Blastophaga,psenes,
Fijian ginger weevil,Elytroteinus subtruncatus (Fairmaire),Coleoptera,Curculionidae,Elytroteinus,subtruncatus,
filament borer,Nematocampa resistaria (Herrich-Schäffer),Lepidoptera,Geometridae,Nematocampa,resistaria,
filbert aphid,Myzocallis coryli (Goeze),Hemiptera,Aphididae,Myzocallis,coryli,
filbert bud mite,Phytoptus avellanae (Nalepa),Acari,Phytoptidae,Phytoptus,avellanae,
filbert weevil,Curculio uniformis (LeConte),Coleoptera,Curculionidae,Curculio,uniformis,
filbertworm,Cydia latiferreana (Walsingham),Lepidoptera,Tortricidae,Cydia,latiferreana,
fir cone looper,Eupithecia spermaphaga (Dyar),Lepidoptera,Geometridae,Eupithecia,spermaphaga,
fir engraver,Scolytus ventralis LeConte,Coleoptera,Curculionidae,Scolytus,ventralis,
fir root bark beetle,Pseudohylesinus granulatus (LeConte),Coleoptera,Curculionidae,Pseudohylesinus,granulatus,
fir seed moth,Cydia bracteatana (Fernald),Lepidoptera,Tortricidae,Cydia,bracteatana,
firebrat,Thermobia domestica (Packard),Thysanura,Lepismatidae,Thermobia,domestica,
firtree borer,Semanotus litigiosus (Casey),Coleoptera,Cerambycidae,Semanotus,litigiosus,
fivespotted gamagrass leafhopper,Dalbulus quinquenotatus DeLong & Nault,Hemiptera,Cicadellidae,Dalbulus,quinquenotatus,
flat grain beetle,Cryptolestes pusillus (Schönherr),Coleoptera,Laemophloeidae,Cryptolestes,pusillus,
flatheaded appletree borer,Chrysobothris femorata (Olivier),Coleoptera,Buprestidae,Chrysobothris,femorata,
flatheaded cone borer,Chrysophana conicola Van Dyke,Coleoptera,Buprestidae,Chrysophana,conicola,
flatheaded fir borer,Phaenops drummondi (Kirby),Coleoptera,Buprestidae,Phaenops,drummondi,
flatheaded hackberry borer,Agrilus macer (LeConte),Coleoptera,Buprestidae,Agrilus,macer,
flax bollworm,Heliothis ononis Denis & Schiffermüller,Lepidoptera,Noctuidae,Heliothis,ononis,
Fletcher scale,Parthenolecanium fletcheri (Cockerell),Hemiptera,Coccidae,Parthenolecanium,fletcheri,
floodwater mosquito,Aedes sticticus (Meigen),Diptera,Culicidae,Aedes,sticticus,
Florida carpenter ant,Camponotus floridanus (Buckley),Hymenoptera,Formicidae,Camponotus,floridanus,
Florida fern caterpillar,Callopistria floridensis (Guenée),Lepidoptera,Noctuidae,Callopistria,floridensis,
Florida harvester ant,Pogonomyrmex badius (Latreille),Hymenoptera,Formicidae,Pogonomyrmex,badius,
Florida red scale,Chrysomphalus aonidum (Linnaeus),Hemiptera,Diaspididae,Chrysomphalus,aonidum,
Florida wax scale,Ceroplastes floridensis Comstock,Hemiptera,Coccidae,Ceroplastes,floridensis,
flower thrips,Frankliniella tritici (Fitch),Thysanoptera,Thripidae,Frankliniella,tritici,
fluff louse,Goniocotes gallinae (De Geer),Phthiraptera,Philopteridae,Goniocotes,gallinae,
flyspeck scale,Gymnaspis aechmeae Newstead,Hemiptera,Diaspididae,Gymnaspis,aechmeae,
follicle mite,Demodex folliculorum (Simon),Acari,Demodicidae,Demodex,folliculorum,
forage looper,Caenurgina erechtea (Cramer),Lepidoptera,Noctuidae,Caenurgina,erechtea,
Forbes scale,Diaspidiotus forbesi (Johnson),Hemiptera,Diaspididae,Diaspidiotus,forbesi,
foreign grain beetle,Ahasverus advena (Waltl),Coleoptera,Silvanidae,Ahasverus,advena,
forest bumble bee,Bombus sylvicola Kirby,Hymenoptera,Apidae,Bombus,sylvicola,
forest tent caterpillar,Malacosoma disstria Hübner,Lepidoptera,Lasiocampidae,Malacosoma,disstria,
forest tree termite,Neotermes connexus Snyder,Blattodea,Kalotermitidae,Neotermes,connexus,
forktailed bush katydid,Scudderia furcata Brunner von Wattenwyl,Orthoptera,Tettigoniidae,Scudderia,furcata,
